"Periodo","Mes","Codigo_departamento","Departamento","Codigo_municipio","Municipio","Nombre_comercial","Bandera","Direccion","Producto","Precio","Estado"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS PETROMIL BAZAR 64","PETROMIL","CARRERA 72 No. 64 B - 16","GASOLINA CORRIENTE OXIGENADA","8.890","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS PETROMIL BAZAR 64","PETROMIL","CARRERA 72 No. 64 B - 16","BIODIESEL EXTRA","8.690","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS PETROMIL BAZAR 64","PETROMIL","CARRERA 72 No. 64 B - 16","GASOLINA CORRIENTE OXIGENADA","8.890","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS PETROMIL BAZAR 64","PETROMIL","CARRERA 72 No. 64 B - 16","GASOLINA EXTRA OXIGENADA","16.690","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS PETROMIL BAZAR 64","PETROMIL","CARRERA 72 No. 64 B - 16","BIODIESEL EXTRA","8.690","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO EL CERRO 1","TEXACO","CALLE 6 No. 3A - 01 ESTE","GASOLINA EXTRA OXIGENADA","15.795","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO EL CERRO 1","TEXACO","CALLE 6 No. 3A - 01 ESTE","GASOLINA CORRIENTE OXIGENADA","9.190","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO EL CERRO 1","TEXACO","CALLE 6 No. 3A - 01 ESTE","BIODIESEL EXTRA","8.880","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO DISTRACOM DOÑA JUANA","BIOMAX","AVENIDA CALLE 71B SUR NO. 12-85","GASOLINA CORRIENTE OXIGENADA","8.950","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO DISTRACOM DOÑA JUANA","BIOMAX","AVENIDA CALLE 71B SUR NO. 12-85","GASOLINA EXTRA OXIGENADA","15.390","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO DISTRACOM DOÑA JUANA","BIOMAX","AVENIDA CALLE 71B SUR NO. 12-85","BIODIESEL EXTRA","8.730","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO DISTRACOM DOÑA JUANA","BIOMAX","AVENIDA CALLE 71B SUR NO. 12-85","GASOLINA EXTRA OXIGENADA","16.200","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO DISTRACOM DOÑA JUANA","BIOMAX","AVENIDA CALLE 71B SUR NO. 12-85","GASOLINA CORRIENTE OXIGENADA","8.760","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO DISTRACOM DOÑA JUANA","BIOMAX","AVENIDA CALLE 71B SUR NO. 12-85","BIODIESEL EXTRA","8.550","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","E-S GY-234","TEXACO","AVENIDA CALLE 234 AEROPUERTO GUAYMARAL-ESCUELA ANDES E-S TEXACO","GASOLINA EXTRA OXIGENADA","16.895","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","E-S GY-234","TEXACO","AVENIDA CALLE 234 AEROPUERTO GUAYMARAL-ESCUELA ANDES E-S TEXACO","GASOLINA CORRIENTE OXIGENADA","9.685","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","E-S GY-234","TEXACO","AVENIDA CALLE 234 AEROPUERTO GUAYMARAL-ESCUELA ANDES E-S TEXACO","BIODIESEL EXTRA","9.462","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO MAKRO VILLA DEL RIO","BIOMAX","CR 63 NO. 57 G - 74 Sur","BIODIESEL EXTRA","8.699","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO MAKRO VILLA DEL RIO","BIOMAX","CR 63 NO. 57 G - 74 Sur","GASOLINA CORRIENTE OXIGENADA","8.699","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS PRADERA AV 68","TERPEL","CARRERA 68 No. 11-46","GASOLINA EXTRA OXIGENADA","16.900","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS PRADERA AV 68","TERPEL","CARRERA 68 No. 11-46","BIODIESEL EXTRA","9.100","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS PRADERA AV 68","TERPEL","CARRERA 68 No. 11-46","GASOLINA CORRIENTE OXIGENADA","9.260","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO QUIBA S.A.S","OCTANO","BUENA VISTA - CIUDAD BOLIVAR","GASOLINA CORRIENTE OXIGENADA","9.372","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO QUIBA S.A.S","OCTANO","BUENA VISTA - CIUDAD BOLIVAR","BIODIESEL EXTRA","9.152","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACIÓN DE SERVICIO AUTOMOTRIZ CARRERA 10","TERPEL","CARRERA 10 No. 31 - 50 SUR","GASOLINA EXTRA OXIGENADA","15.779","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACIÓN DE SERVICIO AUTOMOTRIZ CARRERA 10","TERPEL","CARRERA 10 No. 31 - 50 SUR","GASOLINA CORRIENTE OXIGENADA","9.179","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACIÓN DE SERVICIO AUTOMOTRIZ CARRERA 10","TERPEL","CARRERA 10 No. 31 - 50 SUR","BIODIESEL EXTRA","9.019","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS PETROMIL BAZAR 151","PETROMIL","AV. CARRERA 19 N° 151 - 23","BIODIESEL EXTRA","9.169","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS PETROMIL BAZAR 151","PETROMIL","AV. CARRERA 19 N° 151 - 23","GASOLINA EXTRA OXIGENADA","16.499","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS PETROMIL BAZAR 151","PETROMIL","AV. CARRERA 19 N° 151 - 23","GASOLINA CORRIENTE OXIGENADA","9.099","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS PETROMIL BAZAR 151","PETROMIL","AV. CARRERA 19 N° 151 - 23","GASOLINA EXTRA OXIGENADA","16.690","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS PETROMIL BAZAR 151","PETROMIL","AV. CARRERA 19 N° 151 - 23","GASOLINA CORRIENTE OXIGENADA","8.899","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS PETROMIL BAZAR 151","PETROMIL","AV. CARRERA 19 N° 151 - 23","BIODIESEL EXTRA","9.169","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS PETROMIL BAZAR 151","PETROMIL","AV. CARRERA 19 N° 151 - 23","GASOLINA EXTRA OXIGENADA","16.099","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS PETROMIL BAZAR 151","PETROMIL","AV. CARRERA 19 N° 151 - 23","GASOLINA CORRIENTE OXIGENADA","9.099","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS PETROMIL BAZAR 151","PETROMIL","AV. CARRERA 19 N° 151 - 23","BIODIESEL EXTRA","9.169","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS COESCO SANTA ROSA","ESSO","AC 24 No 116 - 19","BIODIESEL EXTRA","8.840","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","EDS COESCO SANTA ROSA","ESSO","AC 24 No 116 - 19","GASOLINA CORRIENTE OXIGENADA","8.859","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO TERPEL BAZAR 183","PETROMIL","AC 183 No. 7 A - 57","GASOLINA CORRIENTE OXIGENADA","8.899","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO TERPEL BAZAR 183","PETROMIL","AC 183 No. 7 A - 57","BIODIESEL EXTRA","9.169","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO TERPEL BAZAR 183","PETROMIL","AC 183 No. 7 A - 57","GASOLINA EXTRA OXIGENADA","16.099","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO TERPEL BAZAR 183","PETROMIL","AC 183 No. 7 A - 57","GASOLINA EXTRA OXIGENADA","16.499","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO TERPEL BAZAR 183","PETROMIL","AC 183 No. 7 A - 57","BIODIESEL EXTRA","9.169","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO TERPEL BAZAR 183","PETROMIL","AC 183 No. 7 A - 57","GASOLINA CORRIENTE OXIGENADA","9.099","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO TERPEL BAZAR 183","PETROMIL","AC 183 No. 7 A - 57","GASOLINA CORRIENTE OXIGENADA","9.099","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO TERPEL BAZAR 183","PETROMIL","AC 183 No. 7 A - 57","BIODIESEL EXTRA","9.169","A"
"2.022","2","11","BOGOTA D.C.","11.001","BOGOTA  D.C.","ESTACION DE SERVICIO TERPEL BAZAR 183","PETROMIL","AC 183 No. 7 A - 57","GASOLINA EXTRA OXIGENADA","16.690","A"
